date,copper,coal,oil
2021-07-01,9450.82045454546,153.198214285714,74.4031818181818
2021-08-01,9370.13857142857,173.568367346938,70.5881818181818
2021-09-01,9324.70954545455,188.122889610389,74.7495454545454
2021-10-01,9829.21904761905,240.732142857142,83.8652380952381
2021-11-01,9728.90454545454,177.801623376623,80.8904545454545
2021-12-01,9551.18,181.473979591836,74.6782608695652
2022-01-01,9782.3375,231.760178571428,85.6223809523809
2022-02-01,9943.175,272.486785714285,94.267
2022-03-01,10230.8939130435,353.440527950356,112.44
2022-04-01,10174.3476190476,334.718233082678,106.155714285714
2022-05-01,9395.02727272727,418.493877551035,112.113636363636
2022-06-01,9067.55181818182,427.424999999999,117.692727272727
2022-07-01,7544.80952380952,433.626530612249,105.252857142857
2022-08-01,7990.81217391304,447.447564935064,97.6430434782609
2022-09-01,7746.01136363636,467.783673469392,90.6081818181818
2022-10-01,7651.08285714286,426.909183673499,93.7185714285714
2022-11-01,8049.86136363636,368.258279220749,90.9386363636364
2022-12-01,8371.09136363636,427.686964285713,81.5031818181818
2023-01-01,9007.34636363636,404.535204081642,84.0818181818182
2023-02-01,8936.587,244.205357142857,83.6325
2023-03-01,8856.31086956522,195.999223602535,79.2565217391304
2023-04-01,8809.1575,200.676190476214,83.536
2023-05-01,8243.15608695652,179.262321428571,75.7473913043478
2023-06-01,8396.51772727273,138.631655844107,74.975
2023-07-01,8476.67904761905,141.029591836714,80.1090476190476
2023-08-01,8347.82826086957,152.792532467571,85.1682608695652
2023-09-01,8276.71380952381,168.479081632607,92.6733333333333
2023-10-01,7941.35590909091,150.738311688321,88.9477272727273
2023-11-01,8189.58772727273,132.119318181857,82.1863636363636
2023-12-01,8407.90047619048,149.362218045107,77.5409523809524
